english,korean
especially,특히
probably,아마도
almost,거의
quite,꽤
else,그 밖에
instead,대신에
example,예
problem,문제
question,질문
idea,생각
reason,이유
result,결과
fact,사실
experience,경험
situation,상황
chance,기회
price,가격
piece,조각
voice,목소리
power,힘
body,몸
head,머리
hand,손
heart,심장
food,음식
bread,빵
rice,쌀
meat,고기
fruit,과일
vegetable,채소
sugar,설탕
salt,소금
oil,기름
clothes,옷
shirt,셔츠
shoes,신발
hat,모자
bag,가방
phone,전화기
computer,컴퓨터
camera,카메라
clock,시계
key,열쇠
money,돈
letter,편지
news,뉴스
story,이야기
advice,조언
information,정보
education,교육
health,건강
science,과학
history,역사
art,예술
language,언어
culture,문화
society,사회
environment,환경
technology,기술
peace,평화
war,전쟁
rule,규칙
law,법
right,권리
duty,의무
goal,목표
success,성공
effort,노력
mistake,실수
attention,주의
interest,관심
respect,존경
truth,진실
freedom,자유
knowledge,지식
skill,기술
ability,능력
courage,용기
patience,인내
habit,습관
memory,기억
dream,꿈
future,미래
past,과거
present,현재
develop,발전하다
improve,개선하다
protect,보호하다
support,지지하다
join,참여하다
share,나누다
collect,모으다
create,창조하다
discover,발견하다
express,표현하다
explain,설명하다
suggest,제안하다
compare,비교하다
decide,결정하다
prepare,준비하다
practice,연습하다
continue,계속하다
produce,생산하다
provide,제공하다
include,포함하다
accept,받아들이다
follow,따르다
lead,이끌다
serve,봉사하다
solve,해결하다
complete,완성하다
consider,고려하다
imagine,상상하다
realize,깨닫다
communicate,소통하다
discuss,토론하다
introduce,소개하다
celebrate,축하하다
represent,대표하다
separate,분리하다
organize,조직하다
encourage,격려하다
concentrate,집중하다
recognize,인식하다
increase,증가하다
decrease,감소하다
appear,나타나다
disappear,사라지다
divide,나누다
multiply,곱하다
remain,남다
destroy,파괴하다
receive,받다
deliver,배달하다
connect,연결하다
apply,적용하다
contain,포함하다
describe,묘사하다
attract,끌어당기다
prefer,선호하다
satisfy,만족시키다
announce,발표하다
achieve,달성하다
allow,허락하다
refuse,거절하다
depend,의존하다
belong,속하다
operate,작동하다
indicate,가리키다
performance,공연
opportunity,기회
conversation,대화
generation,세대
tradition,전통
experiment,실험
direction,방향
advantage,장점
neighbor,이웃
passenger,승객
audience,관객
customer,고객
community,지역사회
condition,조건
material,재료
amount,양
quality,품질
balance,균형
pressure,압력
temperature,온도
distance,거리
weight,무게
shape,모양
surface,표면
border,국경
passage,통로
signal,신호
variety,다양성
attitude,태도
emotion,감정
opinion,의견
behavior,행동
strength,강점
weakness,약점
challenge,도전
anniversary,기념일
ceremony,의식
universe,우주
planet,행성
oxygen,산소
energy,에너지
resource,자원
climate,기후
pollution,오염
earthquake,지진
flood,홍수
lightning,번개
biology,생물학
chemistry,화학
geography,지리
economy,경제
politics,정치
religion,종교
philosophy,철학
literature,문학
architecture,건축
agriculture,농업
industry,산업
medicine,의학
advertisement,광고
entertainment,오락
treasure,보물
mystery,미스터리
justice,정의
democracy,민주주의
independence,독립
revolution,혁명
invention,발명
discovery,발견
genius,천재
champion,챔피언
hero,영웅
victim,희생자
volunteer,자원봉사자
immigrant,이민자
ancient,고대의
modern,현대의
previous,이전의
current,현재의
entire,전체의
original,원래의
basic,기본적인
specific,특정한
general,일반적인
common,흔한
rare,드문
typical,전형적인
ordinary,평범한
unique,독특한
similar,비슷한
opposite,반대의
equal,동등한
separate,별개의
numerous,수많은
enormous,거대한
tiny,아주 작은
narrow,좁은
thick,두꺼운
thin,얇은
smooth,매끄러운
rough,거친
